run_id,task_id,category,condition,rep,uncached_equivalent_all,uncached_equivalent,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens_all,output_tokens,subagents_spawned,first_turn_cache_creation,total_cost_usd,num_turns,duration_ms,duration_api_ms,tool_read,tool_grep,tool_glob,tool_bash,tool_bash_graphify,tool_calls_total,tool_result_bytes_total,read_graph_json,skill_attributions,is_error,terminal_reason,permission_denials,score,success
FIX3-board-shows-archived__baseline__r1,FIX3-board-shows-archived,fix,baseline,1,309081,157914,10,14351,143553,4533,1432,1,10357,0.2124734,5,50625,51095,1,0,0,1,0,4,5423,false,0,false,completed,0,1,true
FIX3-board-shows-archived__graphify__r1,FIX3-board-shows-archived,fix,graphify,1,485826,484843,24,28793,456026,3028,3014,0,10931,0.23761819999999997,13,56074,44989,3,0,0,6,2,12,29682,false,0,false,completed,0,1,true
IMP1-planlimits-field__baseline__r1,IMP1-planlimits-field,impact,baseline,1,272302,271288,14,26714,244560,4017,4001,0,10023,0.19690000000000002,7,42790,43259,1,0,0,5,0,6,25671,false,0,false,completed,0,1,true
IMP1-planlimits-field__graphify__r1,IMP1-planlimits-field,impact,graphify,1,173855,172841,10,19869,152962,1588,1571,0,10960,0.1268974,5,28275,28505,0,0,0,3,1,4,14884,false,0,false,completed,0,1,true
IMP2-rename-issue-created__baseline__r1,IMP2-rename-issue-created,impact,baseline,1,120997,120026,8,12284,107734,1046,1033,0,10348,0.08206480000000001,4,17352,17925,0,0,0,3,0,3,2369,false,0,false,completed,0,0.7142857142857143,false
IMP2-rename-issue-created__graphify__r1,IMP2-rename-issue-created,impact,graphify,1,240807,239836,14,20382,219440,3225,3211,0,10544,0.158595,7,35267,35529,0,0,0,5,1,6,12665,true,0,false,completed,0,0.8,false
IMP3-limited-resource-union__baseline__r1,IMP3-limited-resource-union,impact,baseline,1,198861,197851,12,18012,179827,2614,2599,0,10009,0.1351124,6,30732,31533,0,0,0,5,0,5,10887,false,0,false,completed,0,0.9166666666666666,true
IMP3-limited-resource-union__graphify__r1,IMP3-limited-resource-union,impact,graphify,1,168538,167528,10,19073,148445,2188,2174,0,10970,0.12882100000000002,5,26357,26541,0,0,0,3,1,4,13510,false,0,false,completed,0,0.9166666666666666,true
LOC1-shortcut-match__baseline__r1,LOC1-shortcut-match,locate,baseline,1,121254,120276,8,13398,106870,670,653,0,10361,0.08257500000000001,5,10367,11202,2,0,0,2,0,4,4885,false,0,false,completed,0,1,true
LOC1-shortcut-match__graphify__r1,LOC1-shortcut-match,locate,graphify,1,128680,127702,8,16218,111476,535,521,0,10934,0.0934412,4,13917,14430,1,0,0,1,1,3,9905,false,0,false,completed,0,1,true
LOC2-webhook-plan-cap__baseline__r1,LOC2-webhook-plan-cap,locate,baseline,1,208424,90541,6,12242,78293,3558,971,1,9982,0.1648449,3,40243,40792,0,0,0,1,0,2,2481,false,0,false,completed,0,0.5,false
LOC2-webhook-plan-cap__graphify__r1,LOC2-webhook-plan-cap,locate,graphify,1,272179,271197,14,25982,245201,2293,2279,0,10940,0.17683820000000003,10,28734,28550,0,0,0,6,3,9,27486,false,0,false,completed,0,0.5,false
LOC3-digest-window__baseline__r1,LOC3-digest-window,locate,baseline,1,259513,67478,4,4593,62881,3164,516,1,10357,0.1874934,3,7093,39217,2,0,0,0,0,5,8341,false,0,false,completed,0,1,true
LOC3-digest-window__graphify__r1,LOC3-digest-window,locate,graphify,1,266564,265583,14,28058,237511,2296,2281,0,10943,0.18362820000000002,9,30820,30461,3,0,0,2,3,8,31907,false,0,false,completed,0,0.5,false
REF1-assertcan-callers__baseline__r1,REF1-assertcan-callers,reference,baseline,1,234610,32210,2,1979,30229,4798,907,1,9949,0.20836,1,9686,53628,0,0,0,0,0,1,1180,false,0,false,completed,0,0.9333333333333333,true
REF1-assertcan-callers__graphify__r1,REF1-assertcan-callers,reference,graphify,1,288502,287545,16,23526,264003,2706,2690,0,10531,0.1748736,8,32415,32567,1,0,0,4,2,7,21930,false,0,false,completed,0,0.9333333333333333,true
REF2-would-exceed-limit-callers__baseline__r1,REF2-would-exceed-limit-callers,reference,baseline,1,233382,232406,14,18500,213892,2409,2393,0,10342,0.1417924,7,29471,30066,1,0,0,5,0,6,11379,false,0,false,completed,0,1,true
REF2-would-exceed-limit-callers__graphify__r1,REF2-would-exceed-limit-callers,reference,graphify,1,221268,220292,12,26337,193943,1416,1400,0,10914,0.15921659999999999,6,19665,19738,1,0,0,2,2,5,29658,false,0,false,completed,0,1,true
REF3-issue-created-subscribers__baseline__r1,REF3-issue-created-subscribers,reference,baseline,1,225430,32649,2,2325,30322,5846,449,1,10351,0.22005790000000003,1,4993,75263,0,0,0,0,0,1,1180,false,0,false,completed,0,1,true
REF3-issue-created-subscribers__graphify__r1,REF3-issue-created-subscribers,reference,graphify,1,397460,396473,22,23823,372628,2641,2627,0,10924,0.1971886,11,38594,38327,2,0,0,6,2,10,20102,false,0,false,completed,0,1,true
